"date","topic","dem","rep","public","pubdem","pubrep","media","random"
2009-09-10,18,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,19,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,20,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,21,NA,0.0444444444444444,NA,NA,NA,NA,NA
2009-09-10,22,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,23,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,24,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,25,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,26,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,27,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,28,NA,0.0611111111111111,NA,NA,NA,NA,NA
2009-09-10,29,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-09-10,30,NA,0.0277777777777778,NA,NA,NA,NA,NA
2009-10-20,1,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,2,NA,0.0446745278496788,NA,NA,NA,NA,NA
2009-10-20,3,NA,0.0364778065382034,NA,NA,NA,NA,NA
2009-10-20,4,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,5,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,6,NA,0.0370530150512894,NA,NA,NA,NA,NA
2009-10-20,7,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,8,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,9,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,10,NA,0.0452497363627648,NA,NA,NA,NA,NA
2009-10-20,11,NA,0.0370530150512894,NA,NA,NA,NA,NA
2009-10-20,12,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,13,NA,0.0370530150512894,NA,NA,NA,NA,NA
2009-10-20,14,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,15,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,16,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,17,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,18,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,19,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,20,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,21,NA,0.0364778065382034,NA,NA,NA,NA,NA
2009-10-20,22,NA,0.0774614130955805,NA,NA,NA,NA,NA
2009-10-20,23,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,24,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,25,NA,0.0458249448758508,NA,NA,NA,NA,NA
2009-10-20,26,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,27,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,28,NA,0.0370530150512894,NA,NA,NA,NA,NA
2009-10-20,29,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-10-20,30,NA,0.028281085226728,NA,NA,NA,NA,NA
2009-11-30,1,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,2,NA,0.043010752688172,NA,NA,NA,NA,NA
2009-11-30,3,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,4,NA,0.043010752688172,NA,NA,NA,NA,NA
2009-11-30,5,NA,0.043010752688172,NA,NA,NA,NA,NA
2009-11-30,6,NA,0.0591397849462366,NA,NA,NA,NA,NA
2009-11-30,7,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,8,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,9,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,10,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,11,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,12,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,13,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,14,NA,0.0591397849462366,NA,NA,NA,NA,NA
2009-11-30,15,NA,0.043010752688172,NA,NA,NA,NA,NA
2009-11-30,16,NA,0.043010752688172,NA,NA,NA,NA,NA
2009-11-30,17,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,18,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,19,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,20,NA,0.0591397849462366,NA,NA,NA,NA,NA
2009-11-30,21,NA,0.0268817204301075,NA,NA,NA,NA,NA
2009-11-30,22,NA,0.0268817204301075,NA,NA,NA,NA,NA
